#,Title,Speaker,Year,Month,Session,URL
110,A Missionary and His Message,Hugh B. Brown,1972,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-missionary-and-his-message?lang=eng
111,Eternal Keys and the Right to Preside,Joseph Fielding Smith,1972,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/eternal-keys-and-the-right-to-preside?lang=eng
112,The Aaronic Priesthood—A Sure Foundation,Victor L. Brown,1972,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-aaronic-priesthood-a-sure-foundation?lang=eng
113,The Fullness of the Gospel in Each Man’s Language,J. Thomas Fyans,1972,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-fullness-of-the-gospel-in-each-mans-language?lang=eng
114,"Know Thyself, Control Thyself, Give Thyself",Paul H. Dunn,1972,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/know-thyself-control-thyself-give-thyself?lang=eng
115,The Covenant of the Priesthood,Marion G. Romney,1972,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-covenant-of-the-priesthood?lang=eng
116,The Priesthood: A Royal Army,N. Eldon Tanner,1972,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-priesthood-a-royal-army?lang=eng
117,The Strength of the Priesthood,Harold B. Lee,1972,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-strength-of-the-priesthood?lang=eng
118,A Time of Decision,Harold B. Lee,1972,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-time-of-decision?lang=eng
119,Joy through Christ,Marion D. Hanks,1972,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/joy-through-christ?lang=eng
120,A Foundation Whereon Men Cannot Fall,David B. Haight,1972,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-foundation-whereon-men-cannot-fall?lang=eng
121,The Testimony of Jesus,Bruce R. McConkie,1972,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-testimony-of-jesus?lang=eng
122,Why Stay Morally Clean,Boyd K. Packer,1972,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/why-stay-morally-clean?lang=eng
